Date,Time,Open,High,Low,Close,Vol,OI
2025-05-12,09:13:00,23050,23050,23050,23050,561,0
2025-05-12,09:15:00,23050,23199,23049,23154,1619,0
2025-05-12,09:16:00,23155,23180,23132,23166,690,0
2025-05-12,09:17:00,23167,23169,23112,23124,548,0
2025-05-12,09:18:00,23123,23133,23098,23118,453,0
2025-05-12,09:19:00,23122,23139,23113,23117,468,0
2025-05-12,09:20:00,23119,23119,23091,23104,570,0
2025-05-12,09:21:00,23105,23136,23105,23135,337,0
2025-05-12,09:22:00,23136,23148,23122,23148,249,0
2025-05-12,09:23:00,23147,23159,23136,23146,257,0
2025-05-12,09:24:00,23144,23155,23136,23143,157,0
2025-05-12,09:25:00,23141,23144,23115,23119,263,0
2025-05-12,09:26:00,23120,23124,23106,23116,172,0
2025-05-12,09:27:00,23120,23132,23120,23122,97,0
2025-05-12,09:28:00,23122,23141,23118,23131,98,0
2025-05-12,09:29:00,23134,23141,23129,23137,118,0
2025-05-12,09:30:00,23139,23142,23044,23044,1637,0
2025-05-12,09:31:00,23044,23059,23030,23055,764,0
2025-05-12,09:32:00,23059,23083,23052,23078,740,0
2025-05-12,09:33:00,23078,23086,23019,23029,727,0
2025-05-12,09:34:00,23028,23039,23010,23021,661,0
2025-05-12,09:35:00,23024,23063,23016,23044,683,0
2025-05-12,09:36:00,23042,23050,22998,22998,736,0
2025-05-12,09:37:00,22999,23013,22976,22976,887,0
2025-05-12,09:38:00,22977,22994,22967,22977,702,0
2025-05-12,09:39:00,22977,22992,22961,22988,532,0
2025-05-12,09:40:00,22988,23008,22974,22989,729,0
2025-05-12,09:41:00,22990,22993,22956,22969,561,0
2025-05-12,09:42:00,22969,22993,22962,22973,382,0
2025-05-12,09:43:00,22976,22986,22951,22985,471,0
2025-05-12,09:44:00,22983,22999,22954,22983,775,0
2025-05-12,09:45:00,22984,23002,22971,22971,496,0
2025-05-12,09:46:00,22973,22975,22950,22954,390,0
2025-05-12,09:47:00,22954,22955,22926,22927,739,0
2025-05-12,09:48:00,22929,22985,22929,22983,617,0
2025-05-12,09:49:00,22986,23035,22983,23004,973,0
2025-05-12,09:50:00,23005,23017,22990,23002,323,0
2025-05-12,09:51:00,23003,23022,22999,23000,271,0
2025-05-12,09:52:00,23000,23020,22988,23014,476,0
2025-05-12,09:53:00,23018,23018,22975,23006,393,0
2025-05-12,09:54:00,23005,23007,22971,22997,311,0
2025-05-12,09:55:00,22997,23002,22982,22985,294,0
2025-05-12,09:56:00,22986,23003,22972,22983,272,0
2025-05-12,09:57:00,22984,22988,22965,22977,322,0
2025-05-12,09:58:00,22981,23019,22979,23019,352,0
2025-05-12,09:59:00,23020,23039,23018,23037,678,0
2025-05-12,10:00:00,23035,23046,23028,23037,590,0
2025-05-12,10:01:00,23039,23055,23035,23053,313,0
2025-05-12,10:02:00,23054,23064,23046,23052,403,0
2025-05-12,10:03:00,23053,23058,23032,23039,225,0
2025-05-12,10:04:00,23041,23061,23039,23060,216,0
2025-05-12,10:05:00,23059,23067,23053,23057,339,0
2025-05-12,10:06:00,23060,23080,23050,23077,295,0
2025-05-12,10:07:00,23079,23085,23065,23070,392,0
2025-05-12,10:08:00,23071,23080,23065,23073,335,0
2025-05-12,10:09:00,23071,23076,23056,23059,446,0
2025-05-12,10:10:00,23058,23068,23040,23045,566,0
2025-05-12,10:11:00,23044,23088,23042,23075,345,0
2025-05-12,10:12:00,23075,23104,23075,23093,577,0
2025-05-12,10:13:00,23094,23123,23091,23121,390,0
2025-05-12,10:14:00,23123,23135,23112,23133,604,0
2025-05-12,10:15:00,23131,23136,23120,23135,375,0
2025-05-12,10:16:00,23134,23147,23132,23139,444,0
2025-05-12,10:17:00,23140,23162,23132,23161,641,0
2025-05-12,10:18:00,23160,23169,23147,23147,420,0
2025-05-12,10:19:00,23149,23149,23120,23120,555,0
2025-05-12,10:20:00,23123,23143,23121,23134,386,0
2025-05-12,10:21:00,23133,23135,23108,23112,541,0
2025-05-12,10:22:00,23114,23126,23111,23119,222,0
2025-05-12,10:23:00,23121,23127,23100,23119,361,0
2025-05-12,10:24:00,23120,23148,23119,23142,458,0
2025-05-12,10:25:00,23141,23143,23118,23136,393,0
2025-05-12,10:26:00,23135,23147,23129,23137,291,0
2025-05-12,10:27:00,23134,23143,23116,23122,316,0
2025-05-12,10:28:00,23120,23125,23104,23118,265,0
2025-05-12,10:29:00,23119,23123,23094,23099,431,0
2025-05-12,10:30:00,23099,23108,23090,23100,258,0
2025-05-12,10:31:00,23100,23100,23086,23089,209,0
2025-05-12,10:32:00,23089,23089,23076,23079,279,0
2025-05-12,10:33:00,23078,23097,23076,23097,314,0
2025-05-12,10:34:00,23091,23094,23072,23082,176,0
2025-05-12,10:35:00,23084,23087,23060,23063,229,0
2025-05-12,10:36:00,23063,23068,23051,23057,203,0
2025-05-12,10:37:00,23055,23070,23051,23054,215,0
2025-05-12,10:38:00,23055,23070,23053,23066,209,0
2025-05-12,10:39:00,23066,23067,23043,23046,225,0
2025-05-12,10:40:00,23047,23047,23020,23020,416,0
2025-05-12,10:41:00,23021,23022,23010,23016,205,0
2025-05-12,10:42:00,23011,23024,23008,23024,179,0
2025-05-12,10:43:00,23022,23031,23012,23012,202,0
2025-05-12,10:44:00,23014,23014,23001,23009,262,0
2025-05-12,10:45:00,23010,23030,23005,23029,300,0
2025-05-12,10:46:00,23028,23029,23014,23015,199,0
2025-05-12,10:47:00,23015,23030,23007,23017,323,0
2025-05-12,10:48:00,23017,23028,23011,23023,239,0
2025-05-12,10:49:00,23021,23024,23017,23023,114,0
2025-05-12,10:50:00,23026,23031,23020,23023,115,0
2025-05-12,10:51:00,23022,23026,23015,23025,100,0
2025-05-12,10:52:00,23025,23029,23015,23021,131,0
2025-05-12,10:53:00,23019,23026,23018,23022,51,0
2025-05-12,10:54:00,23025,23029,23017,23020,131,0
2025-05-12,10:55:00,23020,23025,23018,23019,121,0
2025-05-12,10:56:00,23018,23018,22985,22991,348,0
2025-05-12,10:57:00,22988,22995,22976,22991,297,0
2025-05-12,10:58:00,22990,23000,22984,22991,239,0
2025-05-12,10:59:00,22991,22997,22988,22995,169,0
2025-05-12,11:00:00,22994,23006,22994,23002,172,0
2025-05-12,11:01:00,23002,23009,22985,22991,195,0
2025-05-12,11:02:00,22991,23007,22991,23002,192,0
2025-05-12,11:03:00,23001,23001,22978,22987,211,0
2025-05-12,11:04:00,22984,22986,22972,22974,130,0
2025-05-12,11:05:00,22975,22976,22967,22972,281,0
2025-05-12,11:06:00,22972,22976,22957,22965,172,0
2025-05-12,11:07:00,22968,22969,22955,22957,126,0
2025-05-12,11:08:00,22957,22963,22955,22961,119,0
2025-05-12,11:09:00,22963,22978,22961,22975,226,0
2025-05-12,11:10:00,22975,22976,22945,22946,374,0
2025-05-12,11:11:00,22948,22950,22936,22940,239,0
2025-05-12,11:12:00,22940,22946,22917,22918,320,0
2025-05-12,11:13:00,22921,22924,22913,22916,486,0
2025-05-12,11:14:00,22917,22918,22901,22915,393,0
2025-05-12,11:15:00,22913,22914,22897,22899,383,0
2025-05-12,11:16:00,22898,22913,22894,22911,267,0
2025-05-12,11:17:00,22912,22914,22901,22909,212,0
2025-05-12,11:18:00,22910,22921,22906,22921,233,0
2025-05-12,11:19:00,22921,22935,22920,22931,334,0
2025-05-12,11:20:00,22932,22932,22923,22928,222,0
2025-05-12,11:21:00,22927,22938,22923,22936,142,0
2025-05-12,11:22:00,22937,22949,22935,22949,151,0
2025-05-12,11:23:00,22949,22957,22947,22955,256,0
2025-05-12,11:24:00,22954,22958,22947,22949,124,0
2025-05-12,11:25:00,22951,22957,22944,22949,132,0
2025-05-12,11:26:00,22949,22959,22948,22956,140,0
2025-05-12,11:27:00,22957,22963,22949,22955,185,0
2025-05-12,11:28:00,22957,22963,22956,22963,80,0
2025-05-12,11:29:00,22962,22965,22956,22958,127,0
2025-05-12,11:30:00,22956,22970,22955,22965,164,0
2025-05-12,11:31:00,22965,22966,22957,22959,89,0
2025-05-12,11:32:00,22958,22959,22951,22954,75,0
2025-05-12,11:33:00,22953,22955,22942,22943,150,0
2025-05-12,11:34:00,22942,22942,22933,22935,92,0
2025-05-12,11:35:00,22933,22948,22932,22947,90,0
2025-05-12,11:36:00,22947,22949,22943,22946,62,0
2025-05-12,11:37:00,22946,22948,22943,22943,34,0
2025-05-12,11:38:00,22945,22959,22945,22959,62,0
2025-05-12,11:39:00,22959,22968,22959,22967,115,0
2025-05-12,11:40:00,22965,22968,22957,22957,127,0
2025-05-12,11:41:00,22958,22963,22958,22958,52,0
2025-05-12,11:42:00,22955,22959,22954,22959,34,0
2025-05-12,11:43:00,22959,22967,22959,22965,95,0
2025-05-12,11:44:00,22968,22981,22968,22980,190,0
2025-05-12,11:45:00,22980,22983,22974,22977,207,0
2025-05-12,11:46:00,22979,22989,22979,22984,161,0
2025-05-12,11:47:00,22984,22995,22983,22986,236,0
2025-05-12,11:48:00,22984,22989,22978,22980,84,0
2025-05-12,11:49:00,22980,22987,22980,22985,70,0
2025-05-12,11:50:00,22986,22989,22980,22981,84,0
2025-05-12,11:51:00,22981,22985,22979,22985,75,0
2025-05-12,11:52:00,22986,22992,22983,22991,56,0
2025-05-12,11:53:00,22990,23002,22990,22997,196,0
2025-05-12,11:54:00,22995,22995,22985,22989,124,0
2025-05-12,11:55:00,22989,22994,22988,22989,93,0
2025-05-12,11:56:00,22991,22998,22989,22998,54,0
2025-05-12,11:57:00,22997,23000,22994,22998,51,0
2025-05-12,11:58:00,22997,23002,22996,22999,123,0
2025-05-12,11:59:00,23000,23000,22993,22993,64,0
2025-05-12,12:58:00,22993,22993,22993,22993,0,0
2025-05-12,13:00:00,22995,23015,22993,22995,474,0
2025-05-12,13:01:00,22999,23012,22989,23004,239,0
2025-05-12,13:02:00,23005,23013,23001,23011,184,0
2025-05-12,13:03:00,23011,23033,23007,23026,378,0
2025-05-12,13:04:00,23029,23039,23026,23037,181,0
2025-05-12,13:05:00,23033,23037,23023,23024,172,0
2025-05-12,13:06:00,23024,23029,23007,23015,191,0
2025-05-12,13:07:00,23016,23028,23016,23027,103,0
2025-05-12,13:08:00,23026,23039,23026,23029,120,0
2025-05-12,13:09:00,23027,23027,23014,23017,135,0
2025-05-12,13:10:00,23019,23033,23016,23017,125,0
2025-05-12,13:11:00,23017,23022,23015,23018,72,0
2025-05-12,13:12:00,23017,23026,23009,23025,88,0
2025-05-12,13:13:00,23026,23031,23018,23028,133,0
2025-05-12,13:14:00,23029,23038,23029,23038,92,0
2025-05-12,13:15:00,23036,23043,23030,23032,265,0
2025-05-12,13:16:00,23033,23043,23031,23034,184,0
2025-05-12,13:17:00,23034,23037,23029,23031,154,0
2025-05-12,13:18:00,23031,23036,23025,23030,136,0
2025-05-12,13:19:00,23031,23052,23031,23050,320,0
2025-05-12,13:20:00,23052,23056,23044,23054,242,0
2025-05-12,13:21:00,23055,23057,23045,23050,194,0
2025-05-12,13:22:00,23053,23061,23043,23052,119,0
2025-05-12,13:23:00,23051,23058,23050,23055,108,0
2025-05-12,13:24:00,23056,23064,23053,23061,124,0
2025-05-12,13:25:00,23060,23060,23055,23059,109,0
2025-05-12,13:26:00,23058,23067,23055,23067,80,0
2025-05-12,13:27:00,23066,23069,23061,23064,188,0
2025-05-12,13:28:00,23063,23074,23062,23067,231,0
2025-05-12,13:29:00,23066,23077,23066,23074,138,0
2025-05-12,13:30:00,23075,23076,23060,23062,194,0
2025-05-12,13:31:00,23064,23069,23056,23067,142,0
2025-05-12,13:32:00,23069,23081,23069,23070,161,0
2025-05-12,13:33:00,23070,23075,23061,23063,174,0
2025-05-12,13:34:00,23063,23065,23049,23051,141,0
2025-05-12,13:35:00,23051,23058,23048,23048,118,0
2025-05-12,13:36:00,23049,23053,23045,23047,133,0
2025-05-12,13:37:00,23047,23048,23041,23045,209,0
2025-05-12,13:38:00,23047,23055,23040,23049,182,0
2025-05-12,13:39:00,23049,23057,23049,23057,76,0
2025-05-12,13:40:00,23057,23070,23055,23067,129,0
2025-05-12,13:41:00,23068,23077,23066,23073,141,0
2025-05-12,13:42:00,23072,23075,23067,23068,92,0
2025-05-12,13:43:00,23070,23071,23062,23066,147,0
2025-05-12,13:44:00,23067,23078,23066,23074,275,0
2025-05-12,13:45:00,23073,23084,23072,23080,116,0
2025-05-12,13:46:00,23080,23081,23071,23078,134,0
2025-05-12,13:47:00,23077,23085,23071,23072,88,0
2025-05-12,13:48:00,23072,23093,23071,23089,250,0
2025-05-12,13:49:00,23090,23090,23083,23085,71,0
2025-05-12,13:50:00,23087,23090,23085,23088,90,0
2025-05-12,13:51:00,23088,23091,23084,23091,95,0
2025-05-12,13:52:00,23092,23094,23087,23091,85,0
2025-05-12,13:53:00,23091,23093,23086,23088,126,0
